search URL:,"https://patents.google.com/?q=polarized,polarization,polarisation,polarised&q=metrology,measurement,polarimetry&q=lithography,microlithography,lithographic,microlithographic&q=lens,optic&q=G03F7%2f70591&assignee=Asml+Netherlands+B.V.,Asml+Holding+N.V.,Carl+Zeiss+Smt+Gmbh,Carl+Zeiss+Smt+Ag,Nikon+Corp,Nikon+Corporation&country=US&num=100"
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US20030081722A1,"Multilayer-film mirrors for use in extreme UV optical systems, and methods for manufacturing such mirrors exhibiting improved wave aberrations ",Nikon Corporation,"Noriaki Kandaka, Katsuhiko Murakami, Hideki Komatsuda, Wakana Ishiyama, Masayuki Shiraishi, Katsumi Sugisaki, Masaki Yamamoto",2001-08-27,2002-08-27,2003-05-01,,https://patents.google.com/patent/US20030081722A1/en
US5680200A,"Inspection apparatus and method for optical system, exposure apparatus provided with the inspection apparatus, and alignment apparatus and optical system thereof applicable to the exposure apparatus ",Nikon Corporation,"Ayako Sugaya, Masahiro Nakagawa, Tadashi Nagayama",1995-01-13,1996-09-05,1997-10-21,1997-10-21,https://patents.google.com/patent/US5680200A/en
US20120092669A1,Measurement method and measurement system for measuring birefringence ,Carl Zeiss Smt Gmbh,"Damian Fiolka, Marc ROHE",2009-03-20,2011-09-20,2012-04-19,,https://patents.google.com/patent/US20120092669A1/en
US7924436B2,Method for approximating an influence of an optical system on the state of polarization of optical radiation ,Carl Zeiss Smt Gmbh,"Markus Mengel, Michael Totzeck",2006-02-08,2007-02-07,2011-04-12,2011-04-12,https://patents.google.com/patent/US7924436B2/en
US20100079738A1,Optical measurement apparatus for a projection exposure system ,Carl Zeiss Smt Ag,"Johannes Eisenmenger, Thomas Stammler, Richard Ell",2008-09-30,2009-09-29,2010-04-01,,https://patents.google.com/patent/US20100079738A1/en
US20110205514A1,"Measuring method and measuring apparatus of pupil transmittance distribution, exposure method and exposure apparatus, and device manufacturing method ",Nikon Corporation,Naonori Kita,2010-02-25,2011-01-21,2011-08-25,,https://patents.google.com/patent/US20110205514A1/en
US5757505A,Exposure apparatus ,Nikon Corporation,Hideo Mizutani,1996-02-16,1997-02-14,1998-05-26,1998-05-26,https://patents.google.com/patent/US5757505A/en
US20060203232A1,"Measuring method, measuring system, inspecting method, inspecting system, exposure method and exposure system ",Nikon Corporation,Shinichi Okita,2005-01-24,2006-01-23,2006-09-14,,https://patents.google.com/patent/US20060203232A1/en
US20140347646A1,Method and apparatus for compensating at least one defect of an optical system ,"Carl Zeiss Sms Ltd., Carl Zeiss Smt Gmbh","Vladimir Dmitriev, Ingo Saenger, Frank Schlesener, Markus Mengel, Johannes Ruoff",2012-02-21,2014-08-12,2014-11-27,,https://patents.google.com/patent/US20140347646A1/en
US20080036982A1,Method For Structuring A Substrate Using Multiple Exposure ,Carl Zeiss Smt Ag,"Ulrich Wegmann, Gerd Reisinger, Manfred Maul, Paul Graeupner, Martin Schriever, Aksel Goehnermeier",2004-04-09,2005-04-11,2008-02-14,,https://patents.google.com/patent/US20080036982A1/en
US6963449B2,Method for improving the imaging properties of at least two optical elements and photolithographic fabrication method ,Carl Zeiss Smt Ag,"Birgit Mecking, Toralf Gruner, Alexander Kohl",2001-12-20,2004-04-13,2005-11-08,2005-11-08,https://patents.google.com/patent/US6963449B2/en
US8269981B1,Method and an apparatus for measuring a deviation of an optical test surface from a target shape ,Carl Zeiss Smt Gmbh,"Bernd Doerband, Frank RIEPENHAUSEN",2009-03-30,2009-03-30,2012-09-18,2012-09-18,https://patents.google.com/patent/US8269981B1/en
US20170010539A1,Measuring device for determining a polarisation parameter ,Carl Zeiss Smt Gmbh,Andreas Wirsing,2014-03-24,2016-09-26,2017-01-12,,https://patents.google.com/patent/US20170010539A1/en
US20100079739A1,Projection objective for microlithography ,Carl Zeiss Smt Ag,"Aksel Goehnermeier, Daniel Kraehmer, Vladimir Kamenov, Michael Totzeck",2007-05-25,2009-11-24,2010-04-01,,https://patents.google.com/patent/US20100079739A1/en
US8908192B2,Method and apparatus for qualifying optics of a projection exposure tool for microlithography ,Carl Zeiss Smt Gmbh,Markus Goeppert,2010-07-30,2013-01-30,2014-12-09,2014-12-09,https://patents.google.com/patent/US8908192B2/en
US20120320358A1,Method for operating a projection exposure apparatus with correction of imaging aberrations induced by the mask ,Carl Zeiss Smt Gmbh,Johannes Ruoff,2010-03-30,2012-07-23,2012-12-20,,https://patents.google.com/patent/US20120320358A1/en
US20020171922A1,"Multilayer reflective mirrors for EUV, wavefront-aberration-correction methods for same, and EUV optical systems comprising same ",Nikon Corporation,"Masayuki Shiraishi, Katsuhiko Murakami, Hiroyuki Kondo, Noriaki Kandaka",2000-10-20,2001-10-19,2002-11-21,,https://patents.google.com/patent/US20020171922A1/en
US6665049B1,"Photomask, method for manufacturing the same, projection aligner using the photomask, and projection exposing method ",Nikon Corporation,Tetsuo Takahashi,1999-08-10,2000-08-08,2003-12-16,2003-12-16,https://patents.google.com/patent/US6665049B1/en
US6312373B1,Method of manufacturing an optical system ,Nikon Corporation,Hiroshi Ichihara,1998-09-22,1999-09-22,2001-11-06,2001-11-06,https://patents.google.com/patent/US6312373B1/en
US20100014065A1,"Method for improving imaging properties of an optical system, and such an optical system ",Carl Zeiss Smt Ag,"Toralf Gruner, Yim-Bun Patrick Kwan",2007-03-20,2009-09-02,2010-01-21,,https://patents.google.com/patent/US20100014065A1/en
US20120249985A1,Measurement of an imaging optical system by superposition of patterns ,Carl Zeiss Smt Gmbh,"Lars Wischmeier, Rolf Freimann",2011-03-31,2012-03-30,2012-10-04,,https://patents.google.com/patent/US20120249985A1/en
US20070279606A1,"Exposure apparatus, exposure method, and method for producing device ",Nikon Corporation,Hiroyuki Nagasaka,2006-02-16,2007-02-16,2007-12-06,,https://patents.google.com/patent/US20070279606A1/en
US20060285092A1,Exposure apparatus and device fabrication method ,Nikon Corporation,Kazuya Ono,2003-10-31,2006-04-27,2006-12-21,,https://patents.google.com/patent/US20060285092A1/en
US20160054662A1,Projection exposure apparatus with a highly flexible manipulator ,Carl Zeiss Smt Gmbh,"Alexander Wolf, Toralf Gruner, Boris Bittner, Norbert Wabra",2013-03-15,2015-08-27,2016-02-25,,https://patents.google.com/patent/US20160054662A1/en
US20040257675A1,"Optical measuring system, and a projection objective ",Carl Zeiss Smt Ag,"Hubert Holderer, Werner Lang, Alexander Kohl, Bernhard Gellrich, Hartmut Brandenburg, Johannes Rau, Armin Schoeppach",2001-07-26,2004-01-14,2004-12-23,,https://patents.google.com/patent/US20040257675A1/en
US20110242520A1,"Optical properties measurement method, exposure method and device manufacturing method ",Nikon Corporation,"Junichi Kosugi, Shigeru Hirukawa, Naoto Kondo",2009-11-17,2010-11-16,2011-10-06,,https://patents.google.com/patent/US20110242520A1/en
US6727980B2,Apparatus and method for pattern exposure and method for adjusting the apparatus ,Nikon Corporation,"Kazuya Ota, Akikazu Tanimoto, Tsuneyuki Hagiwara, Hideki Komatsuda, Takashi Mori",1998-09-17,2001-05-02,2004-04-27,2004-04-27,https://patents.google.com/patent/US6727980B2/en
US5138176A,Projection optical apparatus using plural wavelengths of light ,Nikon Corporation,Kenji Nishi,1990-06-13,1991-06-06,1992-08-11,1992-08-11,https://patents.google.com/patent/US5138176A/en
US20160282221A1,Testing device for an euv optical system ,Carl Zeiss Smt Gmbh,"Alexander Huebel, Thomas Niederhausen",2013-12-10,2016-06-10,2016-09-29,,https://patents.google.com/patent/US20160282221A1/en
US20170010540A1,Method and apparatus for generating a predetermined three-dimensional contour of an optical component and/or a wafer ,"Carl Zeiss Sms Ltd., Carl Zeiss Smt Gmbh","Vladimir Dmitriev, Bernd Geh",2014-03-25,2016-09-22,2017-01-12,,https://patents.google.com/patent/US20170010540A1/en
US20170068165A1,Optimum arrangement of actuator and sensor points on an optical element ,Carl Zeiss Smt Gmbh,"Pascal Marsollek, Johannes Lippert, Jasper Wesselingh, Sascha Bleidistel",2014-05-14,2016-11-08,2017-03-09,,https://patents.google.com/patent/US20170068165A1/en
USRE36799E,Projection optical apparatus using plural wavelengths of light ,Nikon Corporation,Kenji Nishi,1990-06-13,1997-10-27,2000-08-01,2000-08-01,https://patents.google.com/patent/USRE36799E/en
